Date,Price,Open,High,Low,Vol.,Change %
22-Sep-20,"11,266.68","11,408.96","11,411.66","11,177.02",44.46M,-0.89%
21-Sep-20,"11,367.76","11,643.57","11,668.82","11,336.63",42.59M,-2.40%
18-Sep-20,"11,647.17","11,721.15","11,723.44","11,591.22",38.91M,-0.03%
17-Sep-20,"11,650.48","11,688.60","11,718.76","11,634.65",34.36M,-0.70%
16-Sep-20,"11,732.07","11,684.71","11,743.25","11,658.02",43.54M,0.72%
15-Sep-20,"11,648.51","11,603.16","11,663.04","11,574.80",36.71M,0.78%
14-Sep-20,"11,558.18","11,633.13","11,677.40","11,504.88",60.81M,-0.10%
11-Sep-20,"11,569.34","11,558.88","11,593.62","11,523.09",40.29M,0.19%
10-Sep-20,"11,547.24","11,473.36","11,557.81","11,438.47",42.34M,1.46%
9-Sep-20,"11,380.54","11,316.62","11,398.94","11,281.26",41.55M,-0.30%
8-Sep-20,"11,414.54","11,486.67","11,537.97","11,387.41",44.88M,-0.38%
7-Sep-20,"11,458.40","11,444.49","11,492.32","11,361.02",43.41M,0.11%
4-Sep-20,"11,446.31","11,448.40","11,572.12","11,418.41",49.40M,-1.72%
3-Sep-20,"11,646.65","11,673.09","11,694.96","11,626.61",43.09M,0.01%
2-Sep-20,"11,645.34","11,582.90","11,664.19","11,538.64",40.93M,0.60%
1-Sep-20,"11,576.19","11,517.66","11,636.51","11,465.89",67.15M,0.83%
31-Aug-20,"11,480.92","11,882.80","11,912.46","11,424.80",87.44M,-2.48%
28-Aug-20,"11,772.45","11,734.57","11,813.01","11,730.92",67.14M,0.70%
27-Aug-20,"11,690.14","11,729.33","11,741.24","11,673.84",51.30M,0.16%
26-Aug-20,"11,671.26","11,636.81","11,681.46","11,591.43",62.40M,0.60%
25-Aug-20,"11,601.09","11,639.68","11,655.58","11,551.22",54.25M,0.10%
24-Aug-20,"11,589.50","11,557.17","11,617.99","11,551.75",61.42M,0.68%
21-Aug-20,"11,511.48","11,535.05","11,565.42","11,503.10",48.68M,0.47%
20-Aug-20,"11,457.56","11,457.87","11,502.51","11,427.81",59.39M,-0.74%
19-Aug-20,"11,542.72","11,574.45","11,592.80","11,525.63",57.97M,0.23%
18-Aug-20,"11,516.18","11,397.36","11,529.46","11,390.64",48.17M,1.18%
17-Aug-20,"11,381.94","11,367.55","11,397.31","11,275.86",65.51K,0.60%
14-Aug-20,"11,314.16","11,476.79","11,502.21","11,246.04",61.98M,-1.08%
13-Aug-20,"11,437.52","11,460.76","11,480.38","11,402.79",66.38M,0.12%
12-Aug-20,"11,424.00","11,417.00","11,435.66","11,351.82",64.85M,-0.08%
11-Aug-20,"11,433.17","11,445.65","11,489.02","11,416.72",46.69M,0.40%
10-Aug-20,"11,387.93","11,372.33","11,443.73","11,356.23",62.21K,0.62%
7-Aug-20,"11,317.51","11,291.17","11,334.17","11,248.11",45.07M,0.19%
6-Aug-20,"11,296.44","11,266.17","11,339.28","11,223.02",56.10M,0.94%
5-Aug-20,"11,190.95","11,242.41","11,309.89","11,154.68",50.34M,0.07%
4-Aug-20,"11,182.96","11,039.66","11,196.01","11,010.80",46.54M,1.74%
3-Aug-20,"10,991.48","11,160.53","11,160.78","10,984.87",61.09M,-1.50%
31-Jul-20,"11,158.96","11,200.36","11,222.57","11,109.90",52.96M,-0.08%
30-Jul-20,"11,168.32","11,296.99","11,341.40","11,148.48",43.08M,-0.72%
29-Jul-20,"11,249.50","11,316.49","11,367.34","11,197.60",42.84M,-0.66%
28-Jul-20,"11,323.78","11,199.40","11,338.56","11,192.21",43.13M,1.44%
27-Jul-20,"11,163.28","11,270.78","11,270.78","11,122.66",45.91M,-0.62%
24-Jul-20,"11,232.51","11,219.26","11,260.06","11,134.81",50.41M,-0.31%
23-Jul-20,"11,267.70","11,177.56","11,287.31","11,157.76",53.80M,0.73%
22-Jul-20,"11,185.72","11,281.84","11,287.40","11,108.44",61.14M,-0.27%
21-Jul-20,"11,216.45","11,200.96","11,234.36","11,177.87",57.38M,1.13%
20-Jul-20,"11,090.72","11,081.89","11,105.94","11,027.47",65.30M,1.02%
17-Jul-20,"10,978.62","10,835.14","11,004.40","10,826.37",51.21M,1.58%
16-Jul-20,"10,808.12","10,786.67","10,821.07","10,664.99",53.75M,1.04%
15-Jul-20,"10,697.23","10,776.51","10,899.72","10,657.03",58.00M,0.04%
14-Jul-20,"10,693.12","10,839.66","10,840.71","10,652.83",43.51M,-1.70%
13-Jul-20,"10,878.29","10,923.49","10,962.15","10,830.13",48.66M,0.32%
