Date,Price,Open,High,Low,Vol.,Change %
1-Nov-19,"34,377.61","34,203.68","34,489.51","34,108.10",-,0.51%
31-Oct-19,"34,203.68","33,761.41","34,306.00","33,761.41",-,1.31%
30-Oct-19,"33,761.41","33,797.51","33,951.48","33,670.70",-,-0.11%
29-Oct-19,"33,797.51","33,861.59","34,016.55","33,715.97",-,-0.19%
28-Oct-19,"33,861.59","33,657.46","34,008.35","33,572.36",-,0.61%
25-Oct-19,"33,657.46","33,762.48","33,943.81","33,597.86",-,-0.31%
24-Oct-19,"33,762.48","33,439.69","33,862.64","33,439.69",-,0.97%
23-Oct-19,"33,439.69","33,198.96","33,639.76","33,198.96",-,0.73%
22-Oct-19,"33,198.96","33,084.73","33,240.10","32,960.65",-,0.35%
21-Oct-19,"33,084.73","33,870.15","33,885.47","33,074.86",-,-2.32%
18-Oct-19,"33,870.15","33,898.56","34,096.39","33,667.80",-,-0.08%
17-Oct-19,"33,898.56","34,281.09","34,361.45","33,836.97",-,-1.12%
16-Oct-19,"34,281.09","34,083.53","34,434.06","34,083.53",-,0.58%
15-Oct-19,"34,083.53","34,186.26","34,259.23","33,929.19",-,-0.30%
14-Oct-19,"34,186.26","34,475.69","34,697.34","34,124.81",-,-0.84%
11-Oct-19,"34,475.69","34,027.70","34,689.30","34,027.70",-,1.32%
10-Oct-19,"34,027.70","33,523.74","34,047.11","33,523.74",-,1.50%
9-Oct-19,"33,523.74","33,476.62","33,604.16","33,339.32",-,0.14%
8-Oct-19,"33,476.62","33,636.82","33,872.18","33,409.12",-,-0.48%
7-Oct-19,"33,636.82","33,033.32","33,850.96","32,947.22",-,1.83%
4-Oct-19,"33,033.32","32,752.26","33,053.79","32,699.24",-,0.86%
3-Oct-19,"32,752.25","32,363.35","32,833.54","32,279.86",-,1.20%
2-Oct-19,"32,363.35","32,254.32","32,388.73","32,180.71",-,0.34%
1-Oct-19,"32,254.32","32,078.85","32,290.39","32,002.11",-,0.55%
30-Sep-19,"32,078.85","32,070.81","32,395.09","31,929.62",-,0.03%
27-Sep-19,"32,070.81","31,433.89","32,085.73","31,368.81",-,2.03%
26-Sep-19,"31,433.89","31,565.21","31,592.11","31,272.06",-,-0.42%
25-Sep-19,"31,565.21","31,829.24","31,867.79","31,472.02",-,-0.83%
24-Sep-19,"31,829.24","31,751.21","31,892.23","31,436.22",-,0.25%
23-Sep-19,"31,751.21","32,111.10","32,147.65","31,710.00",-,-1.12%
20-Sep-19,"32,111.10","32,184.03","32,332.73","32,055.30",-,-0.23%
19-Sep-19,"32,184.03","31,555.47","32,235.29","31,475.00",-,1.99%
18-Sep-19,"31,555.47","31,908.92","31,908.92","31,508.75",-,-1.11%
17-Sep-19,"31,908.92","31,928.55","32,106.19","31,769.98",-,-0.06%
16-Sep-19,"31,928.55","31,481.31","31,954.56","31,481.31",-,1.42%
13-Sep-19,"31,481.31","31,546.61","31,630.07","31,279.83",-,-0.21%
12-Sep-19,"31,546.61","30,954.83","31,846.68","30,950.85",-,1.91%
11-Sep-19,"30,954.83","30,467.20","31,019.81","30,467.20",-,1.60%
6-Sep-19,"30,467.20","30,214.77","30,550.93","30,011.50",-,0.84%
5-Sep-19,"30,214.77","30,244.73","30,743.62","30,145.35",-,-0.10%
4-Sep-19,"30,244.73","29,809.68","30,378.13","29,468.29",-,1.46%
3-Sep-19,"29,809.68","30,057.29","30,247.32","29,739.58",-,-0.82%
2-Sep-19,"30,057.29","29,672.12","30,178.57","29,672.12",-,1.30%
30-Aug-19,"29,672.12","30,158.96","30,309.64","29,559.82",-,-1.61%
29-Aug-19,"30,158.96","30,637.71","30,808.44","30,111.56",-,-1.56%
28-Aug-19,"30,637.71","30,584.85","31,112.82","30,551.91",-,0.17%
27-Aug-19,"30,584.85","30,520.60","30,641.84","29,952.73",-,0.21%
26-Aug-19,"30,520.60","31,350.02","31,350.02","30,410.54",-,-2.65%
23-Aug-19,"31,350.01","31,884.45","32,100.56","31,225.06",-,-1.68%
22-Aug-19,"31,884.45","30,972.75","31,913.32","30,972.75",-,2.94%
21-Aug-19,"30,972.75","30,419.22","31,101.31","30,419.22",-,1.82%
20-Aug-19,"30,419.22","29,562.42","30,503.11","29,562.42",-,2.90%
