Date,Price,Open,High,Low,Vol.,Change %
29-Jul-20,"1,151.99","1,152.63","1,157.11","1,150.37",-,-0.12%
28-Jul-20,"1,153.42","1,149.65","1,154.69","1,143.82",-,0.45%
27-Jul-20,"1,148.24","1,150.69","1,154.03","1,145.29",-,-0.39%
24-Jul-20,"1,152.68","1,164.24","1,164.24","1,148.30",-,-1.64%
23-Jul-20,"1,171.85","1,174.44","1,181.61","1,170.01",-,0.04%
22-Jul-20,"1,171.39","1,181.80","1,182.06","1,168.94",-,-1.18%
21-Jul-20,"1,185.37","1,186.21","1,197.51","1,183.38",-,0.31%
20-Jul-20,"1,181.76","1,172.71","1,185.45","1,164.42",-,0.58%
17-Jul-20,"1,174.94","1,174.81","1,175.89","1,169.73",-,0.21%
16-Jul-20,"1,172.49","1,176.17","1,176.17","1,165.17",-,-0.57%
15-Jul-20,"1,179.19","1,163.54","1,185.39","1,163.54",-,1.68%
14-Jul-20,"1,159.66","1,163.04","1,163.04","1,147.41",-,-0.80%
13-Jul-20,"1,168.97","1,161.94","1,170.61","1,160.75",-,0.91%
10-Jul-20,"1,158.45","1,146.06","1,158.96","1,142.31",-,0.88%
9-Jul-20,"1,148.38","1,159.39","1,163.76","1,145.75",-,-0.84%
8-Jul-20,"1,158.12","1,162.47","1,168.11","1,155.30",-,-0.68%
7-Jul-20,"1,166.03","1,171.17","1,171.17","1,158.16",-,-0.78%
6-Jul-20,"1,175.18","1,162.38","1,179.85","1,162.38",-,1.56%
3-Jul-20,"1,157.08","1,168.48","1,170.49","1,152.88",-,-0.94%
2-Jul-20,"1,168.10","1,148.03","1,169.79","1,148.03",-,2.13%
1-Jul-20,"1,143.70","1,143.79","1,149.47","1,130.39",-,0.12%
30-Jun-20,"1,142.34","1,145.15","1,148.38","1,135.77",-,-0.11%
29-Jun-20,"1,143.58","1,136.70","1,148.88","1,132.15",-,0.40%
26-Jun-20,"1,139.06","1,148.70","1,160.60","1,137.64",-,-0.46%
25-Jun-20,"1,144.38","1,135.26","1,147.50","1,122.64",-,0.71%
24-Jun-20,"1,136.32","1,165.75","1,165.75","1,136.32",-,-2.76%
23-Jun-20,"1,168.60","1,156.21","1,171.12","1,156.21",-,1.35%
22-Jun-20,"1,153.07","1,160.06","1,166.59","1,149.94",-,-0.93%
